week,province_name,total_intensity,event_count,mean_goldstein,intensity_per_event
2025-07-28,Kalimantan Timur,50.0,2,-10.0,25.0
2025-07-28,Kepulauan Bangka Belitung,300.0,3,-10.0,100.0
2025-07-28,Lampung,236.0,3,-9.667,78.667
2025-07-28,Maluku,76.0,1,-9.5,76.0
2025-07-28,Nusa Tenggara Barat,245.0,3,-9.833,81.667
2025-07-28,Papua,84.0,3,-9.667,28.0
2025-07-28,Papua Barat,200.0,2,-10.0,100.0
2025-07-28,Riau,1048.0,13,-9.385,80.615
2025-07-28,Sulawesi Selatan,2268.5,34,-9.235,66.721
2025-07-28,Sumatera Barat,124.0,4,-9.625,31.0
2025-07-28,Sumatera Selatan,380.0,4,-10.0,95.0
2025-07-28,Sumatera Utara,1333.0,17,-9.941,78.412
2025-07-28,Unknown,360.0,4,-9.0,90.0
2025-08-04,Aceh,350.0,4,-10.0,87.5
2025-08-04,Bali,178.0,5,-9.4,35.6
2025-08-04,Banten,415.0,6,-9.417,69.167
2025-08-04,Bengkulu,20.0,1,-10.0,20.0
2025-08-04,Daerah Istimewa Yogyakarta,175.0,3,-8.5,58.333
2025-08-04,Dki Jakarta,2911.0,37,-8.878,78.676
2025-08-04,Jambi,170.0,2,-9.5,85.0
2025-08-04,Jawa Barat,1713.5,21,-8.667,81.595
2025-08-04,Jawa Tengah,1914.0,25,-9.0,76.56
2025-08-04,Jawa Timur,2564.0,41,-9.098,62.537
2025-08-04,Kalimantan Barat,20.0,1,-10.0,20.0
2025-08-04,Kalimantan Selatan,254.0,3,-9.667,84.667
2025-08-04,Kalimantan Tengah,200.0,2,-10.0,100.0
2025-08-04,Kalimantan Timur,120.0,3,-10.0,40.0
2025-08-04,Kepulauan Bangka Belitung,465.0,4,-9.125,116.25
2025-08-04,Maluku Utara,65.0,1,-6.5,65.0
2025-08-04,Nusa Tenggara Barat,50.0,1,-10.0,50.0
2025-08-04,Nusa Tenggara Timur,120.0,2,-10.0,60.0
2025-08-04,Papua,119.0,2,-9.75,59.5
2025-08-04,Papua Barat,100.0,1,-10.0,100.0
2025-08-04,Riau,748.0,10,-9.3,74.8
2025-08-04,Sulawesi Selatan,2923.0,45,-9.111,64.956
2025-08-04,Sulawesi Tengah,200.0,2,-10.0,100.0
2025-08-04,Sumatera Barat,129.0,3,-9.833,43.0
2025-08-04,Sumatera Selatan,726.5,8,-9.938,90.812
2025-08-04,Sumatera Utara,1000.0,13,-10.0,76.923
2025-08-04,Unknown,1087.0,12,-8.583,90.583
2025-08-11,Aceh,74.0,2,-9.5,37.0
2025-08-11,Bali,100.0,1,-10.0,100.0
2025-08-11,Banten,348.0,6,-9.333,58.0
2025-08-11,Bengkulu,76.0,1,-9.5,76.0
2025-08-11,Dki Jakarta,2949.5,38,-8.855,77.618
2025-08-11,Jawa Barat,1784.5,21,-9.262,84.976
2025-08-11,Jawa Tengah,2977.0,42,-9.274,70.881
2025-08-11,Jawa Timur,2001.5,26,-9.096,76.981
2025-08-11,Kalimantan Tengah,596.0,7,-9.857,85.143
2025-08-11,Kalimantan Timur,145.0,3,-9.833,48.333
2025-08-11,Kepulauan Bangka Belitung,396.5,6,-9.417,66.083
2025-08-11,Kepulauan Riau,20.0,1,-10.0,20.0
2025-08-11,Nusa Tenggara Barat,200.0,1,-10.0,200.0
2025-08-11,Nusa Tenggara Timur,248.0,4,-8.0,62.0
2025-08-11,Papua,201.0,3,-8.5,67.0
2025-08-11,Papua Barat,210.0,3,-9.667,70.0
2025-08-11,Riau,395.0,4,-9.875,98.75
2025-08-11,Sulawesi Selatan,4084.0,43,-9.128,94.977
2025-08-11,Sulawesi Tengah,110.0,2,-9.5,55.0
2025-08-11,Sulawesi Tenggara,40.0,1,-10.0,40.0
2025-08-11,Sulawesi Utara,40.0,2,-10.0,20.0
2025-08-11,Sumatera Barat,65.0,1,-6.5,65.0
2025-08-11,Sumatera Selatan,930.0,11,-10.0,84.545
2025-08-11,Sumatera Utara,1228.0,19,-9.184,64.632
2025-08-11,Unknown,540.0,8,-9.625,67.5
2025-08-18,Bali,96.5,2,-9.75,48.25
2025-08-18,Banten,639.0,7,-9.0,91.286
2025-08-18,Bengkulu,80.0,2,-10.0,40.0
2025-08-18,Daerah Istimewa Yogyakarta,254.0,3,-9.667,84.667
2025-08-18,Dki Jakarta,4455.5,56,-9.179,79.562
2025-08-18,Jawa Barat,2351.5,31,-9.403,75.855
2025-08-18,Jawa Tengah,2700.0,37,-9.27,72.973
2025-08-18,Jawa Timur,2143.0,29,-9.069,73.897
2025-08-18,Kalimantan Tengah,212.0,3,-9.667,70.667
2025-08-18,Lampung,355.0,4,-8.875,88.75
2025-08-18,Nusa Tenggara Barat,88.0,4,-9.75,22.0
2025-08-18,Nusa Tenggara Timur,52.0,1,-6.5,52.0
2025-08-18,Papua,235.0,4,-8.875,58.75
2025-08-18,Papua Barat,80.0,1,-10.0,80.0
2025-08-18,Riau,450.0,5,-9.8,90.0
2025-08-18,Sulawesi Selatan,3337.5,39,-9.282,85.577
2025-08-18,Sulawesi Tengah,100.0,1,-10.0,100.0
2025-08-18,Sumatera Barat,132.5,3,-9.5,44.167
2025-08-18,Sumatera Selatan,479.0,6,-9.417,79.833
2025-08-18,Sumatera Utara,1998.0,30,-9.65,66.6
2025-08-18,Unknown,742.0,10,-9.25,74.2
2025-08-25,Aceh,103.5,4,-7.875,25.875
2025-08-25,Bali,787.0,8,-8.812,98.375
2025-08-25,Banten,1695.0,20,-8.375,84.75
2025-08-25,Bengkulu,118.0,2,-9.5,59.0
2025-08-25,Daerah Istimewa Yogyakarta,998.5,18,-8.333,55.472
2025-08-25,Dki Jakarta,8929.5,119,-8.55,75.038
2025-08-25,Gorontalo,162.5,3,-6.5,54.167
2025-08-25,Jambi,1107.0,13,-9.231,85.154
2025-08-25,Jawa Barat,5605.5,78,-8.583,71.865
2025-08-25,Jawa Tengah,5963.5,81,-8.735,73.623
2025-08-25,Jawa Timur,5421.5,81,-8.617,66.932
2025-08-25,Kalimantan Tengah,149.0,3,-8.667,49.667
2025-08-25,Kepulauan Bangka Belitung,103.0,2,-7.75,51.5
2025-08-25,Lampung,284.0,4,-9.0,71.0
